atleta_id;rodada_id;clube_id;posicao_id;pontos_num;preco_num;variacao_num
69102;12;282;5;0;6.82;0
61033;12;265;4;-1.4;5.44;-0.42
90031;12;354;5;0;6.85;0
71937;12;327;4;4.2;9.3;0.58
71631;12;275;1;6;15.61;-2.84
87225;12;293;3;0.5;7.71;-0.55
68911;12;284;5;-1.2;11.75;-0.46
61188;12;265;5;-2.5;13.62;-0.65
93790;12;373;4;1.5;4.39;0.31
92696;12;293;5;-0.2;5.35;-0.05
101077;12;292;6;5.49;6.04;0.8
38277;12;292;4;0;10.02;0
38394;12;293;3;0;10.27;0
86388;12;327;4;0;4.37;0
42500;12;264;2;2.1;11.68;0.07
38279;12;356;5;0;6.89;0
39148;12;282;5;14.4;22.04;2.39
42411;12;282;6;2.62;11.35;-0.59
80076;12;373;5;-0.7;7.69;-1.51
38750;12;262;2;6.1;7.8;0.86
72580;12;327;1;3;6.12;-0.02
71571;12;373;1;2;16.86;0.05
81776;12;327;4;0;3.44;0
70323;12;1371;6;4.76;3.5;0.52
37245;12;354;6;5.13;9.19;0.4
71602;12;327;2;-0.7;5.4;-0.18
50645;12;327;2;1.1;3.38;-0.07
70360;12;282;5;3.3;5.4;0.41
72294;12;282;1;1;11;-1.12
89493;12;282;3;0;5.4;0
86264;12;373;2;0;13.98;0
79334;12;327;3;6.7;2.5;0.83
82381;12;327;4;1.5;5.61;-0.43
90264;12;327;5;0;6.24;0
82276;12;327;5;0.4;2.65;-0.23
88669;12;327;5;0;5;0
80853;12;284;3;10;9.07;0.86
111650;12;327;4;0;1;0
86970;12;327;3;0.9;3.24;-0.1
105909;12;293;5;0;3;0
87342;12;284;3;3.8;8.34;-1.15
82609;12;327;5;0;1;0
91783;12;327;2;0.3;2.37;-0.64
94068;12;327;5;0;3.86;0
96055;12;327;4;0.8;2.15;-0.31
83433;12;285;4;1;8.33;-0.56
111578;12;293;6;0.26;9.55;-0.66
101290;12;284;5;0;9.83;0
80079;12;327;1;0;1;0
79113;12;285;3;4;6.68;-0.08
106835;12;293;3;0;2;0
102905;12;327;4;0;1.98;0
81031;12;286;6;1.56;5.96;0.01
97317;12;327;4;0;2.9;0
60825;12;327;5;2.8;6.37;0.41
68872;12;285;1;0;7.25;0
103515;12;327;4;0;1.51;0
82407;12;286;4;2.1;4.66;0.31
104095;12;327;2;0;1;0
86711;12;293;4;0;2.69;0
90917;12;293;5;1.2;5.8;0.25
81585;12;293;4;0;3.32;0
68835;12;286;5;0;5;0
72772;12;275;5;0;8.51;0
105889;12;327;4;0;1.59;0
87098;12;286;5;1.4;13.68;-1.61
72595;12;373;1;0;3;0
78497;12;373;2;-1.6;5.56;-0.53
82455;12;275;4;5.3;5.72;0.15
91866;12;293;3;-1;5.39;-0.45
93797;12;293;2;0;11.25;0
37674;12;286;4;0;3.74;0
106704;12;327;5;1;1.76;0.04
98974;12;275;2;6.7;9.31;0.81
90700;12;327;3;0;3.96;0
94509;12;275;4;0.2;13.08;-1.06
110506;12;275;6;6.24;12.23;0.36
99878;12;327;5;0;4;0
71684;12;275;3;5.9;11.4;0.08
87999;12;275;4;7.1;15.18;-0.04
94444;12;293;5;0.3;7.68;-0.43
97879;12;293;4;0;2;0
95127;12;293;2;0.8;5.32;-0.03
104502;12;293;4;-0.8;7.44;-0.48
101960;12;293;5;-1.7;5.92;-1.38
105208;12;293;1;3;2.88;0.51
101314;12;327;5;0;6.01;0
101708;12;277;2;-3.1;8.39;-1.65
68952;12;277;5;4.4;18.58;-0.4
80287;12;276;5;0;8.36;0
93550;12;276;4;0.7;7.13;-0.15
78850;12;276;2;2.8;10.33;-1.3
68928;12;282;1;0;5;0
95352;12;276;2;0;7;0
104513;12;293;2;0;8.02;0
68727;12;282;2;0.5;6.27;-1.23
101681;12;327;1;0;1;0
103912;12;276;6;1.25;9.42;-0.6
109246;12;327;5;0;1.45;0
73896;12;315;5;6.1;4.45;1.21
103773;12;327;2;0;1;0
38315;12;293;4;0;6.01;-0.64
108201;12;327;4;1.6;1.53;0.13
91203;12;373;3;-7.3;6.86;-1.46
102253;12;293;3;0;4;0
72389;12;315;5;1;1.09;0.34
78151;12;315;1;0;3;0
98022;12;293;2;0;3.12;0
104017;12;280;1;0;1;0
42491;12;293;2;-0.3;3.75;-1.25
69705;12;293;4;0.2;8.74;-1.73
78991;12;315;4;0;1.84;0
103695;12;280;4;0;1.79;0
104500;12;280;5;0;2;0
69012;12;293;1;0;13.81;0
95794;12;282;3;-0.2;6.72;-1.35
61141;12;265;3;-0.4;3.76;-0.24
53148;12;280;5;9.2;16.45;0.48
70986;12;293;4;-0.4;5.69;-0.18
85931;12;282;4;-1.4;6;-0.64
91639;12;373;2;2.7;11.78;0.22
92146;12;373;5;2.1;3.8;-0.01
70132;12;315;4;0;2.53;0
42140;12;315;3;1.9;4.84;-0.05
62024;12;280;2;-0.6;3.97;-0.18
104625;12;280;2;0;2.97;0
81091;12;282;4;-0.6;7.39;-1.34
84674;12;280;4;2.1;14.29;-0.74
50427;12;315;3;0;3;0
86485;12;282;5;0;11.94;0
80318;12;315;2;0;1.68;0
90768;12;280;3;0;10.81;-0.24
94514;12;373;3;1;3.91;0.06
107543;12;280;2;0;4.8;0
105301;12;280;5;0;4;0
88423;12;280;2;6.9;13.42;0.59
86686;12;282;4;0.7;5.45;0.04
82943;12;315;2;1.6;4.4;-0.16
96966;12;373;5;4.2;5.78;0.51
91702;12;280;5;0;2.47;0
98672;12;282;5;0;8.21;0
105503;12;354;2;0;1;0
87009;12;282;4;1.2;4.41;0.13
103295;12;280;4;0.7;7.32;-0.02
93637;12;280;5;0;5;0
106819;12;354;1;0;1.15;0
88312;12;282;3;-2.8;6.68;-1.96
98909;12;280;5;3;6.29;-0.04
101398;12;327;5;0;2.56;0
96652;12;282;4;4.2;5.06;0.56
86444;12;373;5;0;2.36;0
100103;12;280;5;0;3.1;0
95770;12;280;4;0;4;0
100848;12;280;2;0;11.89;0
87262;12;373;4;2.6;4.03;0.37
68929;12;315;5;0;4;0
86770;12;373;4;0;8.75;0
69214;12;315;5;3.7;4.01;0.67
97425;12;282;3;0;2.68;0
109426;12;280;2;0.9;2.76;0.39
107110;12;280;3;0.2;5.34;-0.08
93834;12;315;1;0;5;0
97133;12;373;2;2;11.28;0.56
80779;12;315;3;0;3;0
97245;12;373;5;0.1;3.27;-0.02
108385;12;280;3;0;2;0
93653;12;265;5;0.8;2.13;0.21
93791;12;265;4;0;6.13;0
101421;12;315;1;0;1;0
82640;12;292;5;7.5;4.14;1.25
87402;12;354;3;11.5;4.04;2.22
100079;12;282;4;2.2;7.87;-0.52
88368;12;354;2;0;4.53;0
94968;12;265;2;2.1;3.09;0.11
87691;12;315;4;0.6;3.22;-0.86
97062;12;265;4;0;8;0
92193;12;315;4;0;5.11;0
88427;12;354;4;0.3;3.14;-0.05
106299;12;280;3;0;2.59;0
89637;12;262;4;0;6.45;0
60859;12;354;5;0;5.22;0
94288;12;315;4;1.6;2.87;0.11
97899;12;265;2;-0.9;10.33;-0.6
101729;12;315;5;1.8;3.08;-0.16
77544;12;354;4;0;10.69;0
100943;12;265;3;-0.5;6.36;-0.96
108329;12;315;4;0;2.24;0
102563;12;315;5;2.3;4.29;0.09
97537;12;315;2;2.8;6.57;-0.21
101319;12;282;2;0;9.3;0
107013;12;315;4;0;0.75;0
111281;12;315;1;0;4.21;-0.54
111279;12;315;2;0;0.99;0
101484;12;265;4;1.6;3.02;0.3
101717;12;282;5;0;3.63;0
80393;12;354;4;0;6;0
98412;12;315;1;0;5.83;0
102997;12;315;4;0;2;0
105294;12;265;4;0.4;2.85;-0.29
96340;12;354;4;0.7;11.65;-2
104655;12;282;5;0;1.24;0
98419;12;315;4;0;3.14;0
38144;12;284;2;0;10.97;0
98333;12;262;1;0;3.06;0
106843;12;282;4;6;2.79;-0.19
81881;12;354;1;0;3.13;0
87552;12;276;5;-0.2;4.64;-0.07
109127;12;315;3;0;0.76;0
71113;12;315;4;1.1;2.35;0.02
112108;12;315;3;0;1;0
94583;12;262;5;8.9;13.41;0.73
90061;12;354;2;5.6;5.65;0.56
109461;12;282;4;0.6;2.13;-0.22
78478;12;262;3;6.9;11.48;0.76
91130;12;315;5;4.4;4.11;0.91
80189;12;265;3;0;4.41;0
83528;12;262;3;8;4.47;1.88
88544;12;354;2;4.4;2.93;0.58
82634;12;265;4;3.5;2.16;0.44
42259;12;276;4;0;4;0
109463;12;282;5;0;2.97;0
81952;12;354;4;0;1.37;0
78248;12;262;3;4.7;5.16;0.49
99440;12;373;4;0;3.3;0
92291;12;262;3;0;3.89;0
85586;12;265;4;0;2.81;0
