atleta_id;rodada_id;clube_id;posicao_id;pontos_num;preco_num;variacao_num
101600;26;277;3;0;3;0
96633;26;292;4;0;2;0
104075;26;292;3;3.1;6.91;-0.43
105111;26;277;5;0;2.68;0
111813;26;284;5;0;6.9;0
95058;26;277;2;0;2.03;0
103523;26;315;3;3.5;5.72;0.09
107797;26;284;4;0;2;0
94916;26;282;4;19.3;14.51;2.69
73332;26;1371;3;0;3;0
104580;26;277;4;0;5;0
105899;26;277;4;0;2.33;0
82775;26;1371;2;0;1.55;0
105547;26;1371;4;0;2;0
111682;26;264;4;-0.1;3.02;0.12
106629;26;277;3;0;2;0
101054;26;1371;5;0.8;1.9;-0.06
107501;26;284;4;0;2.06;0
110948;26;354;5;0;1.1;0
70925;26;286;4;0;5.82;0
87863;26;262;4;0;13.34;0
108779;26;1371;5;0;2;0
78086;26;262;1;0;3;0
111112;26;1371;3;0;2;0
69054;26;286;1;0;4.9;0
109639;26;280;5;4.9;3.45;0.83
91191;26;356;4;0;4;0
88225;26;356;2;0;2.9;0
90715;26;284;5;0;2.84;0
85626;26;276;2;-0.1;7.7;-0.43
78424;26;286;4;0;5;0
102907;26;265;1;0;3.71;0
98822;26;1371;2;0;2.13;0
71719;26;286;4;0;1.6;0
101798;26;286;4;1.4;5.57;-0.67
109497;26;277;5;0;2.6;0
80281;26;286;3;0;3.21;0
82764;26;286;3;1.8;3.27;-0.03
96684;26;276;5;0;6.74;0
84338;26;356;1;0;2;0
93716;26;286;2;1.3;1.87;0.11
94894;26;286;5;0.6;7.54;0.17
111406;26;264;4;0;2.75;-0.67
103088;26;285;3;0;0.75;0
106047;26;264;6;4.76;8.68;0.62
107954;26;277;5;0;2;0
109282;26;266;5;4.6;6.26;0.68
98760;26;356;4;0;3;0
110916;26;373;5;-1.3;2.47;0.02
110415;26;277;5;0;0.99;0
104096;26;286;1;0;1;0
103777;26;275;4;0;1;0
113159;26;275;3;0;1;0
109830;26;277;3;0;2;0
107179;26;264;1;0;2;0
111098;26;373;4;0;1;0
110270;26;264;4;0;1.46;0
111407;26;264;4;0;2;0
107742;26;285;3;0;1;0
106940;26;286;5;0;1;0
98740;26;286;5;0;1.02;0
102301;26;293;4;0;3;0
109618;26;373;1;0;2;0
110624;26;275;1;0;1;0
112567;26;275;5;0;1;0
111636;26;277;2;0;1;0
105901;26;265;4;0;1.08;0
108424;26;373;1;0;1;0
108799;26;286;1;0;1;0
104153;26;264;4;0;1;0
107658;26;286;1;0;1;0
104250;26;264;3;9.3;9.29;1.5
111697;26;1371;3;0;1;0
110605;26;277;4;0;2;0.25
104401;26;286;3;0.2;3.83;0.17
60969;26;327;2;-0.1;5.26;-0.81
88406;26;373;6;0.9;2.8;-0.5
92708;26;275;5;1.2;6.49;0.25
111176;26;327;5;0;1;0
100844;26;265;4;0;0.85;0
111683;26;285;1;0;1;0
102295;26;275;5;0;2;0
97520;26;276;4;0;2.91;0
111891;26;264;2;0;1;0
100840;26;284;3;0;2;0
113250;26;327;1;0;1;0
71505;26;1371;5;0.4;2.5;-0.45
110607;26;277;4;0.7;6.51;0.17
110193;26;262;5;0.3;1.46;0.06
102038;26;315;4;0;1.28;0
109703;26;286;3;0;2;0
110917;26;373;2;0;1;0
100969;26;356;4;0;1.69;0
68832;26;286;4;3.6;3.33;0.57
109963;26;275;3;5.8;6.53;0.49
80196;26;356;4;8.2;18.58;1.33
111759;26;275;5;0;1;0
107800;26;284;4;0;1.21;0
78856;26;292;4;-1.5;3.84;-0.57
110760;26;266;4;0;7.01;0
63110;26;327;2;0;2.85;0
107498;26;266;4;1.1;3.89;-0.08
111721;26;286;2;0;2;0
113251;26;327;3;0;1;0
80664;26;286;2;0;3.75;0
95121;26;1371;1;0;2;0
111637;26;277;3;0;3.15;0
107044;26;266;5;0;1;0
82876;26;292;4;0;3.67;0
107795;26;284;5;0;1.57;-0.43
103261;26;276;3;0;3;0
83048;26;292;3;0;4.9;0
91808;26;264;1;0;2;0
107228;26;275;3;0;1;0
104257;26;1371;2;9.9;7;1.55
100290;26;277;5;0;1.6;0
106219;26;293;4;0;1;0
107183;26;293;1;0;1;0
107745;26;285;5;5.3;5.03;0.59
111097;26;373;5;0;1;0
102796;26;293;5;0;1;0
101573;26;1371;4;1.9;9.29;-0.02
108539;26;264;1;0;1;0
86859;26;292;4;5.3;4.69;0.5
85149;26;292;4;0;3.02;0
111594;26;282;3;0;2;0
105902;26;285;3;0;2.61;-0.49
83772;26;292;5;0;3.94;0
107744;26;280;4;-3.6;6.01;-1.64
111172;26;327;1;0;1;0
110689;26;285;5;0;2;0
106002;26;285;4;-0.2;2.24;-0.15
71618;26;1371;3;0;1.94;0
110568;26;285;5;0;2.29;0
107186;26;293;2;0;2;0
87679;26;292;5;0;2.31;0.25
104383;26;282;1;0;1.17;0
111175;26;327;3;0;1;0
112708;26;327;3;0;0.77;0
105175;26;293;2;3.2;6.26;0.2
91856;26;292;2;0;6.23;0
105807;26;266;3;0;1;0
110603;26;275;5;0;1;0
50353;26;356;3;7.8;10.04;0.94
62020;26;284;5;0;8.47;0
86864;26;327;2;5.4;6.42;-0.11
110725;26;275;4;0;1;0
110465;26;262;4;0;1;0
70666;26;1371;3;5;5.57;-0.29
111760;26;275;4;0;1;0
106830;26;276;4;0;0.97;0
111694;26;262;5;0;1;0
105840;26;292;3;0;0.78;0
102878;26;293;4;5.7;11.83;0.75
110189;26;262;3;0;2;0
109563;26;1371;3;0;2;0
86391;26;292;2;3.2;6.04;-0.47
104127;26;265;2;5.9;5.82;-0.09
68920;26;275;5;1.4;10.96;-2.17
80129;26;286;4;0;3.09;0
105411;26;265;5;0;2;0
113683;26;282;4;0;1;0
107792;26;284;3;0;1;0
113252;26;327;4;0;1;0
112060;26;354;5;0;2.58;0
110885;26;275;4;0;1;0
95802;26;262;4;0;2.62;0
111534;26;292;3;0;0.78;0
105176;26;327;5;0;3;0
113434;26;277;5;0;3;0
113687;26;264;4;0;1.36;0
72951;26;285;3;2.3;9.66;-0.83
80193;26;356;5;0;2.95;0
86120;26;284;5;0;10.1;0
62974;26;373;3;0;4;0
110632;26;282;5;0;0.76;0
113253;26;293;5;0;3;0
111408;26;264;5;0;0.77;0
107898;26;282;5;0;1.35;0
104754;26;356;6;5.94;11.05;0.91
101431;26;277;3;0;2.16;0
113688;26;315;2;0;1;0
105629;26;266;1;0;2;0
103706;26;282;4;0;1.91;0
101820;26;265;2;0;2;0
112141;26;285;2;0;4.65;-0.2
41929;26;262;6;5.58;15.11;-0.1
104994;26;277;3;-3;3.44;-2.73
105171;26;327;5;2.9;6.24;0.3
111466;26;292;2;0;0.76;0
113158;26;276;5;1.4;1.79;0.24
110745;26;277;4;0;1.43;0
51548;26;264;4;0.7;9.25;-0.24
111832;26;266;2;0;2;0
113295;26;327;3;0;1;0
74034;26;265;5;0;6.56;-0.46
113690;26;277;1;0;1;0
91706;26;266;2;0;3.13;0
114011;26;277;3;0;2;0
101596;26;262;5;1.7;2.69;-0.31
110708;26;266;1;0;1;0
81121;26;265;4;0.9;6.06;-0.31
80547;26;356;5;2.5;3.26;0.77
85300;26;327;5;0;3.96;0
97780;26;286;4;0;5.03;0
38398;26;264;4;-0.9;10.89;-0.89
104424;26;284;1;0;1;0
107781;26;266;4;0;3;0
94067;26;275;4;2;4.7;0.19
