atleta_id;rodada_id;clube_id;posicao_id;pontos_num;preco_num;variacao_num
70323;15;1371;6;1.76;3.29;-0.14
80076;15;373;5;1.1;7.99;0.35
38909;15;262;4;-0.9;5.07;-0.15
42411;15;282;6;3.31;11.86;-0.31
78445;15;262;2;0;5.5;0
39148;15;282;5;9.8;22.32;-1.27
38913;15;266;4;0.1;2.75;-0.08
72294;15;282;1;-1;11.1;-1.29
37245;15;354;6;4.27;9.44;-0.04
73465;15;266;3;0.7;9.52;-0.67
79437;15;266;6;1.29;8.59;-0.11
42500;15;264;2;12.1;13.56;2.04
38750;15;262;2;4.8;8.03;0.37
71631;15;275;1;0.5;15.11;-1.41
89493;15;282;3;0.4;4.57;-0.83
61033;15;265;4;11.3;7.75;1.96
85004;15;266;1;5;14.12;0.56
38162;15;266;5;0.1;6.07;0.26
69102;15;282;5;0;6.69;0
70360;15;282;5;7.8;6.63;1.24
86264;15;373;2;6.2;14.32;0.85
61188;15;265;5;0.7;13.93;-0.6
81798;15;265;5;2.1;10.23;0.44
72372;15;356;1;0;7.85;0
73975;15;265;6;2.38;8.94;0.1
93790;15;373;4;0;3.62;0
82628;15;356;2;-1;7.87;-1.54
68808;15;265;2;3.3;7.84;0.15
90309;15;356;5;0;9.48;0
93882;15;280;1;0;9.2;0
92496;15;280;4;0;7.71;0
81682;15;266;4;-0.9;4.98;-0.2
38277;15;292;4;0;10.02;0
82792;15;280;6;0;14.04;0
97080;15;354;5;0;1.11;0
71571;15;373;1;9;18;0.56
95799;15;280;5;0;15.27;0
97867;15;280;3;0;9.38;0
72359;15;354;3;7.7;6.9;-0.1
87342;15;284;3;0;8.34;0
80853;15;284;3;2.1;7.8;0.48
78851;15;354;1;7;8.19;0.45
90031;15;354;5;-0.4;6.31;-0.37
78584;15;286;1;0;6;0
38394;15;293;3;-2.7;8.97;-0.85
39850;15;327;6;4.71;6.74;0.2
71602;15;327;2;5.6;6.38;0.98
71691;15;265;4;-1;3.4;-0.3
38279;15;356;5;2.9;6.53;0.34
110506;15;275;6;1.41;11.61;-0.41
68911;15;284;5;0;11.71;0
71162;15;354;4;-1.4;10.43;-0.5
69345;15;262;2;2.2;10.4;0.03
83257;15;262;5;-5.3;17;-2.18
94286;15;315;5;0.4;5.37;-0.33
82564;15;315;3;0;4.17;0
42234;15;264;1;10;13.21;1.71
101201;15;354;5;0;3;0
83433;15;285;4;15.9;11.01;2.68
101290;15;284;5;0;9.83;0
86759;15;264;4;0;2.12;0
102598;15;280;5;0;12.75;0
38229;15;264;2;4.1;10.62;0.83
68923;15;264;3;4.8;7.09;0.61
90285;15;262;5;4.3;19.22;-1.18
79113;15;285;3;5.3;7.19;-0.01
38509;15;262;1;-3;12.35;-0.7
51413;15;1371;1;2;5.76;-0.81
63172;15;1371;3;-3.3;3.69;-1.1
93108;15;264;4;-0.2;5.16;-0.52
68872;15;285;1;0;7.25;0
51772;15;262;4;1.8;7.34;-0.85
83817;15;1371;5;0;5.29;0
94509;15;275;4;-0.4;12.67;-0.65
82455;15;275;4;1.2;5.26;0.11
71684;15;275;3;-2.6;10.24;-1.64
87999;15;275;4;3.1;14.34;0.29
68952;15;277;5;0;17.86;0
103912;15;276;6;2.14;9.57;-0.08
78850;15;276;2;-0.5;9.67;-1.16
101708;15;277;2;7.8;10.66;0.56
82407;15;286;4;3.8;4.92;0.63
37674;15;286;4;0;3.74;0
81031;15;286;6;1.91;6.25;-0.57
80287;15;276;5;0;8.36;0
72772;15;275;5;1.9;7.88;-0.63
101077;15;292;6;0;6.25;0
93550;15;276;4;-5;5.66;-0.93
72580;15;327;1;7;7.06;1.18
78435;15;262;5;0;7.15;0
60825;15;327;5;-1.7;6.26;-1.15
71937;15;327;4;0;8.31;0
79334;15;327;3;5.7;2.97;0.19
73800;15;262;3;0;11.36;0
86970;15;327;3;5;4.05;0.92
86388;15;327;4;-0.1;4.45;-1.37
69012;15;293;1;0;13.81;0
88916;15;373;1;0;4.04;0
82381;15;327;4;1.4;5.83;-0.12
81776;15;327;4;0;3.44;0
95352;15;276;2;0.5;6.07;-0.93
50645;15;327;2;0;3.38;0
90264;15;327;5;1.8;6.35;0.31
42491;15;293;2;0.5;3.73;-0.02
91783;15;327;2;0;2.71;0
69705;15;293;4;4.5;9.72;-0.36
38315;15;293;4;-0.2;5.74;-0.14
70986;15;293;4;2;6.03;0.26
90917;15;293;5;1.6;5.87;-0.16
90700;15;327;3;0;3.96;0
94068;15;327;5;0;3.86;0
105208;15;293;1;0;2.24;0.12
91866;15;293;3;0.2;5.35;-0.12
96055;15;327;4;0;2.15;0
93797;15;293;2;-2;10.47;-0.61
97317;15;327;4;0;2.63;-0.27
111578;15;293;6;2.62;9.8;0.33
72595;15;373;1;0;2.88;0
81585;15;293;4;0;2.84;0
102905;15;327;4;0;1.98;0
78497;15;373;2;8.9;7.61;1.69
86711;15;293;4;1.7;2.72;0.23
101960;15;293;5;0;7.5;0
86770;15;373;4;4.3;8.38;0.7
105909;15;293;5;-0.1;2.29;-0.71
98022;15;293;2;4.6;3.61;1.31
104502;15;293;4;0;6.92;0
87262;15;373;4;1.2;3.71;0.38
106835;15;293;3;0;2;0
94444;15;293;5;0;6.98;0
95127;15;293;2;0;5.31;0
97879;15;293;4;0;2;0
104513;15;293;2;0;8.02;0
68835;15;286;5;0;3.85;-1.15
68727;15;282;2;-2.3;6.1;-1.98
92146;15;373;5;0;3.93;0
95794;15;282;3;10.2;9.02;1.18
99440;15;373;4;2.6;4.08;-1.13
81091;15;282;4;-1.1;6.98;-0.41
100762;15;293;5;0;6;0
94514;15;373;3;0;4.8;0
102253;15;293;3;0;4;0
86686;15;282;4;1.1;5.31;-0.03
91203;15;373;3;3.8;8.23;0.73
97133;15;373;2;4.5;11.81;0.55
96966;15;373;5;0;5.09;0
85931;15;282;4;1.6;6.54;0.26
97245;15;373;5;2.1;3.7;0.03
88312;15;282;3;0;8.07;0
91639;15;373;2;0;11.78;0
96652;15;282;4;-3.1;3.78;-0.93
86485;15;282;5;0;11.94;0
102457;15;373;4;0;2;0
38138;15;264;5;2.2;7.89;0.11
68928;15;282;1;0;5;0
98672;15;282;5;1.7;7.27;0.26
100079;15;282;4;0;8.16;0
42259;15;276;4;0;4;0
101319;15;282;2;1.5;8.52;-0.78
105809;15;373;3;0;1;0
87009;15;282;4;-0.4;4.5;-1.31
101717;15;282;5;0;3.63;0
107854;15;373;4;0;1.39;0
104655;15;282;5;0;1.24;0
100761;15;276;4;1.3;5.15;-0.48
97425;15;282;3;0;2.68;0
38196;15;284;4;0.5;3.61;-0.7
93791;15;265;4;-0.2;5.86;-0.68
38545;15;275;4;0;5.54;0
82634;15;265;4;-0.1;1.88;-0.58
106826;15;1371;5;0.1;4.04;-0.42
106843;15;282;4;1.7;2.25;0.15
94968;15;265;2;0.2;2.69;0.02
