atleta_id;rodada_id;clube_id;posicao_id;pontos_num;preco_num;variacao_num
93790;1;373;4;0;4.18;-1.82
80076;1;373;5;9.5;10.79;4.79
71571;1;373;1;17;16.71;9.71
92696;1;293;5;3.3;9.96;-1.04
71631;1;275;1;6.5;18.45;-1.55
39148;1;282;5;12.4;17.68;4.68
38750;1;262;2;2.7;5.36;0.36
38394;1;293;3;4.7;9.54;0.54
87225;1;293;3;5.7;8.84;1.84
37245;1;354;6;3.94;8.31;0.31
42411;1;282;6;2.03;9.07;-1.93
86264;1;373;2;7.1;7.73;3.73
72294;1;282;1;1;9.75;-3.25
72588;1;327;6;1.66;3.94;-0.06
42500;1;264;2;2;11.14;-2.86
61033;1;265;4;-1.5;5.92;-4.08
78584;1;265;1;0;6;0
69102;1;282;5;0.8;6.82;-2.18
89493;1;282;3;-3.7;3.69;-5.31
70360;1;282;5;0;7;0
61188;1;265;5;1.3;4.39;-0.61
81798;1;265;5;9.6;12.25;4.25
73975;1;265;6;6.23;7.12;3.12
68808;1;265;2;0;9;0
87470;1;265;4;18;16.71;10.71
71162;1;354;4;0;18;0
72359;1;354;3;0;7;0
82564;1;315;3;1.6;4.59;-0.41
101201;1;354;5;0;3;0
102598;1;280;5;15;13.92;8.92
90031;1;354;5;0;8;0
97080;1;354;5;-1.6;2.37;-2.63
78851;1;354;1;0;6;0
71691;1;265;4;0;7;0
93108;1;264;4;0.8;6.13;-1.87
63172;1;1371;3;0;7;0
83817;1;1371;5;5.6;7.38;2.38
42234;1;264;1;1;11.14;-3.86
78715;1;264;4;-1.1;3.41;-2.59
90285;1;262;5;10.6;18.52;2.52
94286;1;315;5;2.9;6.2;0.2
86759;1;264;4;-0.4;3.9;-2.1
69345;1;262;2;7;11.84;1.84
71602;1;327;2;0;6;0
78435;1;262;5;0.2;5.01;-1.99
51772;1;262;4;0;8.35;-3.65
38229;1;264;2;0;11;0
83257;1;262;5;0;22;0
89256;1;262;4;2.8;10.3;-1.7
68923;1;264;3;-1.7;5.78;-4.22
73800;1;262;3;4.5;10.79;-0.21
97341;1;262;6;5.36;12.09;0.09
51413;1;1371;1;0.5;3.83;-1.17
38509;1;262;1;10;16.71;2.71
81682;1;266;4;-0.1;6.2;-2.8
38909;1;262;4;1;6.27;-1.73
85004;1;266;1;8;12.53;2.53
79437;1;266;6;4.07;7.01;1.01
78445;1;262;2;0;6;0
73465;1;266;3;6.2;11.28;1.28
38279;1;356;5;-1.4;4.59;-3.41
38913;1;266;4;-4.2;5.43;-6.57
38162;1;266;5;0;12;0
72372;1;356;1;0;6.27;-2.73
80853;1;284;3;-1.5;9.4;-5.6
87342;1;284;3;0;11;0
90309;1;356;5;5.3;8.56;1.56
82628;1;356;2;-0.9;4.25;-2.75
68911;1;284;5;0;19;0
68872;1;285;1;1;9.75;-3.25
101290;1;284;5;0;11;0
79113;1;285;3;-0.7;10.65;-5.35
37674;1;286;4;0;5;0
106305;1;285;6;1.99;6.96;-1.04
87098;1;286;5;11.4;10.72;6.72
83433;1;285;4;-0.3;9.54;-4.46
81031;1;286;6;2.76;4.01;1.01
82455;1;275;4;0.2;5.71;-2.29
82407;1;286;4;2.4;5.85;-0.15
98057;1;284;6;2.51;6.62;-0.38
94509;1;275;4;3;12.53;-2.47
98974;1;275;2;-2.5;9.4;-6.6
110506;1;275;6;2.78;10.29;-1.71
72772;1;275;5;1.7;8.15;-1.85
71684;1;275;3;1.2;12.67;-4.33
90264;1;327;5;3.4;7.24;0.24
87999;1;275;4;3.3;7.87;-0.13
86388;1;327;4;1.4;3.06;0.06
84847;1;277;3;1.3;6.47;-1.53
68952;1;277;5;6;20.19;-2.81
101708;1;277;2;1.8;8.91;-2.09
91783;1;327;2;-1.2;1.95;-2.05
78850;1;276;2;6.3;16.22;-0.78
80287;1;276;5;-0.3;12.32;-5.68
103912;1;276;6;5.53;10.81;0.81
38277;1;292;4;9.7;13.71;3.71
97317;1;327;4;-1.2;2.65;-2.35
101077;1;292;6;3.49;3.82;1.82
72580;1;327;1;2;5.57;-0.43
60825;1;327;5;5.1;6.34;2.34
90700;1;327;3;0;2.09;-0.91
81776;1;327;4;3.1;6.34;0.34
82381;1;327;4;0.7;3.97;-1.03
101314;1;327;5;2;6.27;-0.73
94068;1;327;5;0;3;0
88669;1;327;5;0;5;0
93550;1;276;4;0;9;0
96055;1;327;4;0;3;0
95352;1;276;2;0;9;0
71937;1;327;4;0;7;0
86970;1;327;3;-0.8;2.23;-1.77
99878;1;327;5;0;4;0
88916;1;292;1;0;6;0
102905;1;327;4;0;3;0
50645;1;327;2;0;5;0
82276;1;327;5;0;4;0
79334;1;327;3;0;3;0
104513;1;293;2;5.7;9.54;1.54
82609;1;327;5;0;1;0
80079;1;327;1;0;1;0
105889;1;327;4;-0.5;1.04;-0.96
103515;1;327;4;1.1;2.85;-0.15
95127;1;293;2;0;5;0
106704;1;327;5;0;2;0
93797;1;293;2;5;7.66;1.66
104095;1;327;2;0;1;0
111650;1;327;4;0;1;0
103773;1;327;2;0;1;0
101960;1;293;5;3.4;5.85;0.85
38315;1;293;4;-0.6;3.06;-1.94
69012;1;293;1;9;13.23;3.23
101681;1;327;1;0;1;0
108201;1;327;4;0;2;0
104502;1;293;4;6.5;8.7;2.7
94444;1;293;5;0.9;5.5;-1.5
106251;1;327;2;0;1;0
97879;1;293;4;0;2;0
42491;1;293;2;0;5;0
86711;1;293;4;-2.7;1.6;-3.4
109246;1;327;5;0;1;0
105301;1;280;5;0;4;0
69705;1;293;4;-1.9;6.34;-4.66
68835;1;286;5;0;5;0
95494;1;293;3;0;4;0
102253;1;293;3;0;4;0
104420;1;293;5;0;3;0
105909;1;293;5;0;3;0
106835;1;293;3;0;2;0
111578;1;293;6;4.97;6.94;1.94
81585;1;293;4;0;5;0
78497;1;373;2;7;6.96;3.96
71479;1;293;4;0;5;0
91639;1;373;2;11.7;9.54;7.54
86444;1;373;5;0;3;0
86770;1;373;4;5.5;7.31;2.31
90917;1;293;5;6.8;8.91;2.91
92146;1;373;5;0;4;0
94514;1;373;3;0;4;0
72595;1;373;1;0;3;0
70986;1;293;4;0;5.57;-2.43
96328;1;373;4;0;2;0
91866;1;293;3;0;3;0
87262;1;373;4;2.2;4.32;0.32
102457;1;373;4;0;2;0
96966;1;373;5;0;5;0
105208;1;293;1;0;3;0
95794;1;373;3;4.2;5.01;2.01
91203;1;373;3;4.6;5.99;1.99
97133;1;373;2;8.3;10.65;3.65
98022;1;293;2;0;5;0
38545;1;275;4;2;6.96;-1.04
38311;1;292;4;0;4;0
97245;1;373;5;0;5;0
38588;1;1371;5;8.5;10.79;3.79
99440;1;373;4;0;2.09;-0.91
96652;1;282;4;-1;4.18;-2.82
89273;1;265;2;0;4;0
97899;1;265;2;5.3;7.87;1.87
105809;1;373;3;0;1;0
42145;1;266;2;5.6;9.47;1.47
97425;1;282;3;0;3;0
97321;1;265;5;0;3;0
38939;1;276;2;0;11;0
106826;1;276;5;0;4;0
98672;1;282;5;-0.2;6.82;-3.18
100943;1;265;3;4.7;7.45;1.45
38877;1;282;2;0;5;0
72018;1;276;1;17.5;20.54;8.54
39656;1;282;4;0;4;0
52253;1;282;3;0;8;0
107854;1;373;4;0;1;0
68727;1;282;2;0;6;0
101484;1;265;4;0.4;4.46;-1.54
100079;1;282;4;0;4.87;-2.13
91521;1;276;5;1.1;6.34;-1.66
101717;1;282;5;1.6;5.29;-0.71
70784;1;276;5;3.2;6.4;0.4
38144;1;284;2;0;16;0
105294;1;265;4;-1.9;2.16;-2.84
97645;1;276;1;0;1;0
101319;1;282;2;2.4;7.24;-0.76
91260;1;276;1;0;3;0
38196;1;284;4;0;7;0
85931;1;282;4;0.4;6.54;-2.46
68928;1;282;1;0;5;0
38138;1;264;5;0.7;6.06;-1.94
81091;1;282;4;0;7;0
90590;1;265;1;9;7.66;5.66
104655;1;282;5;0;2;0
86485;1;282;5;0;16;0
92182;1;265;3;13.4;12.81;7.81
106843;1;282;4;0;2;0
109463;1;282;5;1.9;3.41;0.41
109461;1;282;4;0;3;0
93653;1;265;5;-1;2.09;-1.91
93791;1;265;4;6.4;7.24;3.24
86686;1;282;4;1.8;8.22;-1.78
82634;1;265;4;-0.5;3.13;-1.87
85586;1;265;4;-0.1;2.72;-1.28
87009;1;282;4;0;4.18;-1.82
80189;1;265;3;0;6;0
97062;1;265;4;0;8;0
87393;1;282;3;0;6;0
86863;1;265;3;0;5;0
100084;1;276;4;0.2;5.71;-2.29
94968;1;265;2;0;5;0
88312;1;282;3;0.6;8.77;-3.23
102909;1;276;4;0.9;5.5;-1.5
101728;1;276;3;0;4;0
100763;1;276;4;-1.1;5.5;-3.5
73620;1;276;3;5.9;10.37;1.37
100761;1;276;4;-0.3;3.97;-2.03
91573;1;276;3;0;9;0
38141;1;276;3;7.4;10.72;2.72
104074;1;276;3;0;3;0
100333;1;276;5;0;2;0
87552;1;276;5;0;6;0
69138;1;276;5;1;5.57;-1.43
38133;1;280;1;0;4;0
101715;1;280;5;0;7;0
53148;1;280;5;7.8;11;3
38648;1;276;4;0;7;0
61141;1;280;3;0;6;0
42259;1;276;4;0;4;0
92811;1;276;5;0;3;0
106824;1;276;2;0;3;0
62024;1;280;2;0;5;0
84674;1;280;4;14.6;14.34;8.34
85856;1;280;4;-0.2;4.04;-1.96
108713;1;276;5;0;3;0
106822;1;276;4;0;5;0
93637;1;280;5;0;5;0
101398;1;280;5;0;2;0
103295;1;280;4;5.3;6.47;2.47
95466;1;276;2;7.5;8.7;3.7
88423;1;280;2;7.4;10.72;2.72
95770;1;280;4;0;4;0
100103;1;280;5;0.8;3.34;-0.66
90768;1;280;3;13.7;12.32;8.32
98909;1;280;5;2.2;3.62;0.62
104017;1;280;1;0;1;0
91702;1;280;5;0;3;0
104500;1;280;5;0;2;0
100848;1;280;2;7.9;8.98;3.98
90846;1;354;3;0;4;0
103695;1;280;4;0;3;0
87691;1;315;4;0.7;1.88;-0.12
104625;1;280;2;0;3;0
84428;1;354;4;0;14;0
94138;1;354;5;0;5;0
62114;1;285;5;2.5;10.09;-1.91
94288;1;315;4;1.9;2.72;0.72
96340;1;354;4;0;9;0
96342;1;354;4;-1.1;2.72;-2.28
98412;1;315;1;2;4.18;0.18
92193;1;315;4;1.9;4.11;0.11
94297;1;354;4;0;3;0
98419;1;315;4;4.2;4.32;2.32
99151;1;354;3;0;1;0
91130;1;315;5;0;1;0
101422;1;315;5;-0.2;1.95;-1.05
98274;1;354;5;7.1;8.42;3.42
101709;1;354;3;0;2;0
98529;1;354;4;5.2;6.4;2.4
97535;1;315;3;0;2;0
102464;1;354;2;-0.8;1.53;-1.47
78248;1;262;3;0;5;0
98945;1;315;3;-0.4;1.11;-0.89
101729;1;315;5;0;3;0
101585;1;315;4;0;3;0
104080;1;354;1;0;1;0
104125;1;354;5;11.4;12.81;5.81
102563;1;315;5;0;1;0
92291;1;262;3;0;5;0
68770;1;264;4;0.7;3.97;-1.03
93834;1;315;1;0;5;0
84263;1;264;3;0;7;0
104459;1;354;5;12.2;10.58;7.58
105584;1;264;2;3.5;5.22;1.22
89637;1;262;4;0;7;0
97450;1;264;5;1.9;6.2;-0.8
101421;1;315;1;0;1;0
98333;1;262;1;0;2;0
105336;1;354;4;0;1;0
78605;1;264;4;0;6;0
91708;1;266;3;7.7;10.93;2.93
94306;1;266;3;0;2;0
105585;1;264;4;2.3;3.69;0.69
102318;1;266;5;9;8.35;5.35
105612;1;266;4;0;3;0
104664;1;264;5;0;2;0
108176;1;354;3;2.8;3.34;1.34
99392;1;262;5;0.7;3.27;-0.73
108329;1;315;4;0;3;0
105503;1;354;2;0;1;0
109573;1;266;4;0.3;6.47;-2.53
104276;1;266;2;0;11;0
38632;1;266;3;0;5;0
82640;1;292;5;2.5;4.53;0.53
110759;1;266;5;0;4;0
98952;1;264;5;0;5;0
72142;1;264;3;0;5;0
102067;1;264;4;0;3;0
50317;1;266;3;0;5;0
111829;1;266;5;1;4.87;-1.13
106940;1;286;5;0;1;0
69014;1;266;3;0;6;0
62129;1;266;4;0;2.78;-1.22
85315;1;264;4;0.3;4.39;-1.61
87747;1;266;4;0.6;4.59;-1.41
82792;1;280;6;8.74;10.96;3.96
95799;1;280;5;2;7.66;-1.34
92496;1;280;4;0;5;0
93882;1;280;1;7;7.66;3.66
74159;1;266;5;0.7;4.66;-1.34
83004;1;264;4;0;8;0
50324;1;266;4;0;5;0
103992;1;315;2;0;1;0
102352;1;264;4;-2.6;0.97;-3.03
62977;1;266;4;0;5;0
102997;1;315;4;0;2;0
107013;1;315;4;0;2;0
106819;1;354;1;0;0.7;-0.3
104079;1;262;1;0;1;0
69214;1;315;5;0.3;4.39;-1.61
78991;1;315;4;-0.7;2.3;-1.7
111279;1;315;2;0;1;0
107107;1;262;3;0;2;0
101574;1;262;1;0;6;0
112108;1;315;3;0;1;0
70132;1;315;4;0;3;0
107109;1;262;4;0;5;0
68929;1;315;5;0;4;0
78478;1;262;3;6.9;11.07;2.07
101727;1;262;2;0;4;0
107111;1;262;4;0;2;0
42140;1;315;3;0;4;0
94583;1;262;5;8.2;12.67;2.67
50427;1;315;3;0;3;0
90569;1;1371;4;0;3;0
109127;1;315;3;0;1;0
103700;1;264;3;0;5;0
82943;1;315;2;0.3;1.6;-0.4
80318;1;315;2;0;3;0
107203;1;262;4;0;2;0
87228;1;282;2;3.9;8.98;-0.02
83528;1;262;3;0;4;0
97537;1;315;2;1;2.78;-0.22
72389;1;315;5;0.1;2.16;-0.84
80779;1;315;3;0;3;0
101597;1;262;2;0;3;0
73896;1;315;5;1.5;3.83;-0.17
104282;1;262;5;0;2;0
107112;1;262;5;-0.5;2.44;-1.56
111282;1;315;1;0;1;0
97867;1;280;3;5;6.96;1.96
84342;1;266;5;0.5;5.92;-2.08
78151;1;315;1;0;3;0
73384;1;266;2;5.3;8.56;1.56
111281;1;315;1;0;1;0
101594;1;262;4;0;2.78;-1.22
107543;1;280;2;0;3;0
81951;1;266;2;0;4;0
107110;1;280;3;4.5;7.31;1.31
61149;1;266;5;0;5;0
69041;1;266;1;0;4;0
84382;1;266;2;0;6;0
109426;1;280;2;0;4;0
106299;1;280;3;0;3;0
77544;1;354;4;10.2;9.89;5.89
108385;1;280;3;0;2;0
60859;1;354;5;0;6;0
83266;1;277;5;0.7;3.97;-1.03
69051;1;285;1;0;4;0
75295;1;285;5;0;13;0
106821;1;285;5;0;3;0
90444;1;285;2;-0.5;5.22;-2.78
73992;1;262;2;0;6;0
80393;1;354;4;0;6;0
96725;1;285;2;0.3;7.17;-2.83
86841;1;285;4;0;9;0
71113;1;354;4;0;3;0
81881;1;354;1;-0.5;3.13;-1.87
63354;1;285;3;0;7;0
87402;1;354;3;-2.9;2.16;-3.84
72362;1;285;4;8.8;9.61;4.61
100652;1;285;5;-0.6;3.76;-2.24
81952;1;354;4;0.5;1.74;-0.26
104649;1;285;2;0;4;0
88368;1;354;2;0;5;0
78865;1;285;4;0;7;0
90061;1;354;2;0;7;0
105839;1;285;2;0;2;0
100846;1;275;2;0;3;0
107172;1;275;4;-0.4;4.59;-2.41
107231;1;275;4;1.4;5.85;-1.15
78580;1;1371;5;11.8;10.3;7.3
100987;1;285;4;-0.7;2.3;-1.7
88427;1;354;4;0;4;0
88544;1;354;2;-1.9;0.7;-0.3
77570;1;1371;4;0;4;0
81898;1;1371;5;0;3;0
103088;1;285;3;-4.3;0.7;-4.3
95638;1;356;3;1.2;5.01;-0.99
105647;1;285;4;1.5;3.83;-0.17
104096;1;286;1;0;1;0
71844;1;285;5;0;10.44;-4.56
106000;1;285;4;0;1;0
63289;1;285;4;12.9;18.03;5.03
105840;1;285;3;0;3;0
105902;1;285;3;0;4;0
78867;1;1371;4;1.4;3.76;-0.24
107744;1;285;4;0.7;5.36;-1.64
106002;1;285;4;0;3;0
96468;1;285;1;0;3;0
102302;1;1371;5;-0.1;1.32;-0.68
72007;1;1371;4;0;4;0
104519;1;1371;4;3.3;4.39;1.39
