atleta_id;rodada_id;clube_id;posicao_id;pontos_num;preco_num;variacao_num
83817;9;1371;5;0;6.31;0
95799;9;280;5;10.5;17.28;1.81
81798;9;265;5;0;10.62;0
68808;9;265;2;12.5;8.91;2.45
92496;9;280;4;9.9;9.05;1.98
102598;9;280;5;0;14.33;0
82792;9;280;6;4.87;14;0.26
87470;9;265;4;2;14.58;-0.85
93882;9;280;1;4;8.89;-0.31
90031;9;354;5;1.6;6.83;0.11
78851;9;354;1;8;6.9;0.73
97867;9;280;3;0;10.08;0
71162;9;354;4;0.9;11.98;-0.26
39850;9;327;6;6.46;6.49;0.59
38229;9;264;2;-0.3;10.19;-1
93108;9;264;4;6.6;6.28;1.29
42234;9;264;1;1;11.11;-1.15
68923;9;264;3;1.9;6.47;-0.7
71691;9;265;4;0;3.99;-0.22
51413;9;1371;1;-1;5.41;-0.43
63172;9;1371;3;0;4.93;0.22
68952;9;277;5;5;18.91;-0.62
90700;9;327;3;8.3;4.88;1.47
97080;9;354;5;0;1.31;0
78584;9;286;1;0;6;0
84847;9;277;3;0;7.16;0
86759;9;264;4;1.3;1.88;0.02
95127;9;293;2;0;6.49;0
101201;9;354;5;0;3;0
82564;9;315;3;0;4.17;0
94286;9;315;5;-2.5;4.53;-1.74
93550;9;276;4;4.5;7.92;0.74
101708;9;277;2;4.3;10.04;-0.23
82276;9;327;5;0.7;2.7;0.16
102905;9;327;4;0;1.98;0
99878;9;327;5;0;4;0
82609;9;327;5;0;1;0
78850;9;276;2;2.7;9.89;-0.4
80287;9;276;5;0;8.36;0
72359;9;354;3;0;7;0
103912;9;276;6;2.57;9.17;-0.2
80079;9;327;1;0;1;0
101077;9;292;6;0.91;5.06;-0.26
38277;9;292;4;3.6;10.77;0.28
106704;9;327;5;5.4;2.29;1.17
85931;9;282;4;0;6.6;0
72580;9;327;1;14;7.68;3
103515;9;327;4;-0.1;1.51;-0.28
101314;9;327;5;0;6.01;0
101960;9;293;5;10.1;7.46;0.98
95352;9;276;2;0;7;0
60825;9;327;5;0.7;6.17;-1.36
104095;9;327;2;0;1;0
104502;9;293;4;1.3;8.13;0.44
105889;9;327;4;-0.5;1.65;-0.28
83257;9;262;5;0;22;0
71937;9;327;4;8.1;9.85;-0.18
88916;9;292;1;0;4.04;0
38509;9;262;1;3;13.73;-0.49
108201;9;327;4;0;1.4;0
111650;9;327;4;0;1;0
90264;9;327;5;1.9;7.05;-0.31
51772;9;262;4;0;8.35;0
101681;9;327;1;0;1;0
86970;9;327;3;11.8;4.56;2.17
97879;9;293;4;0;2;0
90285;9;262;5;2.3;17.78;0.56
102253;9;293;3;0;4;0
38909;9;262;4;0;5.54;0
42500;9;264;2;5.8;12.23;0.26
86770;9;373;4;0;8.75;0
78435;9;262;5;-0.1;7.14;-0.42
79334;9;327;3;0;0.76;0
106835;9;293;3;0;2;0
68835;9;286;5;0;5;0
73800;9;262;3;6.4;11.78;0.51
87262;9;373;4;0.7;3.34;-0.39
94068;9;327;5;0.5;3.82;-0.9
88669;9;327;5;0;5;0
86444;9;373;5;1.2;2.43;0.06
97317;9;327;4;-1.4;2.6;-1.06
72595;9;373;1;0;3;0
78445;9;262;2;0;5.23;0
95794;9;282;3;0;6.39;0
73465;9;266;3;5.1;10.39;0.85
91639;9;373;2;8.4;12.91;1.63
97341;9;262;6;3.33;12.25;-0.19
91203;9;373;3;5.7;9.93;1.06
79437;9;266;6;5.41;9.2;0.71
86388;9;327;4;0;4.45;0
38913;9;266;4;-0.5;2.78;-0.05
91783;9;327;2;0;3.01;0
81682;9;266;4;-0.5;5.67;-1.37
38138;9;264;5;8.5;7.97;1.76
38162;9;266;5;-1.2;6.73;-1.66
96966;9;373;5;4.6;4.92;0.83
78497;9;373;2;6.4;7.02;1.32
38939;9;276;2;-2;7.09;-0.98
85004;9;266;1;11.5;15.45;2.73
97133;9;373;2;9.8;13.19;2.08
72372;9;356;1;4;8.45;0.91
94514;9;373;3;8.3;5.13;1.63
38196;9;284;4;0;4.31;0
97245;9;373;5;0;3.12;0
82628;9;356;2;2;7.07;0.34
99440;9;373;4;4.6;3.76;0.76
38279;9;356;5;0;6.89;0
96055;9;327;4;0;2.46;0
71684;9;275;3;0;12.67;0
98022;9;293;2;-0.5;3.12;-0.43
38877;9;282;2;8;7.78;1.14
87098;9;286;5;0;13.14;-1.79
80853;9;284;3;1.6;7.18;-0.19
106826;9;1371;5;2.1;4.29;0.16
92146;9;373;5;6.1;4.08;1.08
68911;9;284;5;3.4;13.14;0.57
52253;9;282;3;7.4;10.33;0.96
38588;9;1371;5;2.5;9.36;0.32
87342;9;284;3;-1.4;7.01;-1.26
