atleta_id;rodada_id;clube_id;posicao_id;pontos_num;preco_num;variacao_num
37245;27;265;6;4.29;9.4;0.05
38231;27;277;5;-0.3;4.44;-0.1
38394;27;293;3;0;8.3;0
68952;27;277;5;0.4;16.3;-0.47
42500;27;264;2;0;12.22;0
42411;27;282;6;4.69;12.6;0.03
80076;27;373;5;-1.5;7.41;-0.37
39148;27;282;5;2.6;20.72;-2.23
101201;27;354;5;0;3;0
72294;27;282;1;1;11.54;-0.09
69102;27;282;5;0;6.67;0
89493;27;282;3;0;4.7;0
71571;27;373;1;2;16.99;-0.99
71631;27;275;1;9;15.41;0.65
38750;27;262;2;6.5;9.42;0.63
87225;27;293;3;0;7.67;0
93790;27;373;4;4.6;4.24;0.62
70323;27;1371;6;4.87;4.85;0.03
92696;27;293;5;0;6.05;0
71602;27;327;2;4;6.2;-0.3
78584;27;286;1;1;4.96;0.02
61188;27;265;5;3;13.58;0.41
93882;27;280;1;6;9.74;-0.14
68808;27;265;2;6.4;9;0.07
61033;27;265;4;-0.1;5.66;-0.11
95799;27;280;5;0;17.46;0
71162;27;354;4;2.8;10.8;0.19
97867;27;280;3;0;8.35;0
70360;27;282;5;0.9;5.72;0.04
82792;27;280;6;4.11;13.53;-0.18
72359;27;354;3;0;6.48;0
78851;27;354;1;2;7.59;-0.38
86264;27;373;2;0;12.98;0
38509;27;262;1;6;13.94;0.86
95352;27;276;2;4.5;6.16;1.11
92496;27;280;4;0;7.71;0
81798;27;265;5;0;10.33;0
90285;27;262;5;0;18.01;0
82564;27;315;3;0;3.35;0
39850;27;284;6;4.46;7.62;0.46
72580;27;327;1;7.5;8.1;1.23
71691;27;265;4;0;3.41;0
38229;27;264;2;0.7;10.25;-0.79
78435;27;262;5;-0.9;7.52;-0.5
60825;27;327;5;2.8;7.09;0.9
102598;27;280;5;10.1;13.96;1.39
68923;27;264;3;1.4;6.5;-1.04
42234;27;264;1;0;11.98;-1.72
51772;27;262;4;1.8;8.15;-1.49
38909;27;262;4;0;5.13;0
73800;27;262;3;0;10.53;0
78445;27;262;2;0;4.81;0
88916;27;373;1;0;4.04;0
94286;27;315;5;-0.1;5.27;-0.1
90031;27;354;5;2.3;6.33;-0.11
82381;27;327;4;2.2;6.19;0.48
51413;27;1371;1;10.5;8.78;0.54
97080;27;354;5;0;0.99;0
97341;27;276;6;4.96;11.47;-0.96
63172;27;1371;3;5.8;5.69;0.41
69705;27;293;4;0;9.14;0
101708;27;277;2;4.6;9.9;0.29
79334;27;327;3;5;3.75;0.68
78850;27;276;2;11.2;11.52;1.99
93550;27;276;4;-2.2;5.49;-0.79
69345;27;262;2;0;10.56;0
84863;27;293;6;1.7;3.77;-0.07
86759;27;264;4;0;1.64;0
83817;27;1371;5;1;6.24;-0.41
83257;27;262;5;0.4;17.57;-1.45
80287;27;276;5;4.6;8.27;-0.79
72372;27;356;1;-1;8;-1.84
50645;27;327;2;0;3.38;0
86388;27;327;4;2.9;5.15;-0.16
71937;27;327;4;0;7.68;0
81776;27;327;4;-0.2;3.17;-0.13
82628;27;356;2;0.7;8.09;-1.24
90309;27;356;5;0.2;7.96;-0.39
38279;27;356;5;0;5.6;-0.1
68911;27;284;5;8.1;12.32;1.05
111650;27;327;4;0;1;0
81682;27;266;4;0;4.93;0
87342;27;284;3;-1;6.84;0.21
91783;27;327;2;0;2.5;0
90264;27;327;5;0.2;6.13;-0.05
38162;27;266;5;0;6.56;0
80853;27;284;3;0;6.96;0
98057;27;354;6;4.26;6.29;0.26
103515;27;327;4;0;1.93;0
82276;27;327;5;0;2.17;0
101290;27;284;5;0.6;9.44;-0.82
80079;27;327;1;0;1;0
68872;27;285;1;2;6.1;-1.15
69012;27;293;1;1;11.88;-0.62
83433;27;285;4;-0.9;9.43;-3.05
94068;27;327;5;0;2.76;0
79113;27;285;3;-2;7.02;-0.72
105889;27;327;4;0;1.53;0
104095;27;327;2;0;1;0
81585;27;293;4;0;2.4;0
103773;27;327;2;0;1;0
101681;27;327;1;0;1;0
81031;27;327;6;3.12;6.93;0.06
106704;27;327;5;0;1.5;0
86711;27;293;4;5.7;4.22;0.57
91866;27;293;3;-5.2;4.11;-0.94
70986;27;293;4;0;5.49;0
109246;27;327;5;0;1.45;0
38877;27;282;2;0;6.93;0
108201;27;327;4;0;1.53;0
104513;27;293;2;0;7.61;0
92146;27;373;5;0.8;3.98;-0.37
37674;27;286;4;0;4.03;0
91203;27;373;3;1.3;7.52;0.19
86770;27;373;4;-0.4;8.14;-0.79
105208;27;293;1;0;3.6;0
98022;27;293;2;2.2;4.55;-0.15
68835;27;286;5;5.9;4.46;1.07
82407;27;286;4;1.6;4.58;-0.69
42491;27;293;2;1.4;3.67;0.05
96055;27;327;4;0;1.88;0
94514;27;373;3;8.5;5.08;1.39
90917;27;293;5;2.9;5.58;0.2
93797;27;293;2;0;10.1;0
72772;27;275;5;1.7;7.73;-0.07
78497;27;373;2;2.9;7.75;0.82
95794;27;282;3;13.7;10.47;0.45
105909;27;293;5;0.4;2.17;-0.12
100762;27;293;5;1.7;5.17;0.22
106835;27;293;3;0;1.46;0
94444;27;293;5;0;6.98;0
99440;27;373;4;1.1;4.71;-0.12
104502;27;293;4;1.7;7.16;-1.02
86970;27;327;3;6.6;5.01;0.88
95127;27;293;2;0;4.94;0
87262;27;373;4;1.2;3.76;0.57
97245;27;373;5;16.9;6.6;3.07
72595;27;373;1;0;2.88;0
85004;27;266;1;10;14.61;1.73
94509;27;275;4;12.3;15.18;1.53
110506;27;275;6;6.08;12.34;0.29
97317;27;327;4;0.9;2.5;0.09
71684;27;275;3;8.2;11.34;1.1
102253;27;293;3;0;4;0
97133;27;373;2;0;11.32;0
101314;27;327;5;1.9;7.52;-1.52
38138;27;264;5;0.6;7.72;-0.25
91639;27;373;2;1.1;10.91;-0.03
87999;27;275;4;0.5;12.71;0.02
73465;27;266;3;0;9.57;0
90700;27;327;3;0;3.85;0
102905;27;327;4;0;1.69;0
38545;27;275;4;-3.8;3.77;-1.01
73620;27;276;3;0;8.19;0
72018;27;276;1;7;15.79;0.1
82455;27;275;4;3.6;5.32;0.13
38141;27;276;3;0;8.05;0
99878;27;327;5;0;4;0
106826;27;1371;5;0;4.09;0
52253;27;282;3;0;8.72;0
102457;27;373;4;0;2;0
39656;27;282;4;0;2.8;0
68928;27;282;1;0;5;0
68727;27;282;2;0;6.38;0
105809;27;373;3;0;1;0
86863;27;265;3;4.7;5.23;0.28
38588;27;1371;5;1.2;9.3;-1.63
107854;27;373;4;0;1.12;0
42145;27;266;2;0;9.93;0
93791;27;265;4;0.9;5.58;0.28
94968;27;265;2;9.2;5.54;0.38
97899;27;265;2;6;11.33;-0.38
69138;27;276;5;-0.6;3.98;-0.28
85586;27;265;4;0;3.01;0
80189;27;265;3;0;4.08;0
100943;27;265;3;3.6;6.73;-0.46
90590;27;265;1;0;7.44;0
105294;27;265;4;3.8;3.35;0.51
93653;27;265;5;0;2.19;0
38648;27;292;4;0;4.46;0
38144;27;284;2;11.2;10.93;2.56
89273;27;264;2;0;4;0
97062;27;265;4;0;5.92;0
101398;27;327;5;0;2.96;0
91573;27;276;3;5.5;8.96;-0.03
101484;27;265;4;0;2.85;0
38133;27;280;1;0;2.15;0
87552;27;276;5;0;4.91;0
42259;27;276;4;0;4;0
61141;27;265;3;0;3.97;0
91521;27;276;5;0;4.89;0
104625;27;280;2;0;2.7;0
70784;27;276;5;0;4.61;0
62024;27;280;2;0;5.26;0
105301;27;280;5;5.3;4.03;-0.43
101715;27;280;5;7.8;6.17;1.39
88427;27;354;4;2.8;3.4;0.18
93637;27;280;5;0;5;0
107543;27;280;2;0;3.68;0
107110;27;280;3;0;5.14;-0.19
108385;27;280;3;0;1.65;0
53148;27;280;5;0;15.03;0
88423;27;280;2;6.7;13.14;0.14
90768;27;280;3;-2.5;9.96;-1.75
106299;27;280;3;0;2.13;0
60859;27;354;5;-0.2;4;0.03
103295;27;280;4;0;5.71;0
91260;27;276;1;0;1.92;0
103695;27;280;4;4.1;3.15;-0.98
77544;27;354;4;0;9.96;0
109426;27;280;2;0.9;2.68;-0.62
100333;27;286;5;2.9;4.06;0.27
80393;27;354;4;0;5.89;0
71113;27;315;4;0;2.16;0
84674;27;280;4;0;14.02;0
81881;27;354;1;0;3.52;0
87402;27;354;3;0.9;2.93;0.12
98909;27;280;5;5;7.73;0.51
100079;27;282;4;1.4;8.2;-0.02
86485;27;282;5;1.6;10.05;0.14
101319;27;282;2;2.6;8.7;0.1
104017;27;280;1;0;1;0
91702;27;280;5;0;1.94;0
100103;27;280;5;-0.3;3.17;-0.84
95466;27;276;2;0;7.75;0
106822;27;276;4;-0.8;3.28;-0.35
81952;27;354;4;0;1.37;0
96652;27;282;4;7.7;5.72;0.74
88368;27;354;2;0;6.32;0
97425;27;282;3;0;2.68;0
95770;27;280;4;0;3.24;0
88312;27;282;3;3.5;8.74;-0.29
99151;27;315;3;0.2;1.84;0.02
90061;27;354;2;-2.8;5.01;-0.95
104655;27;282;5;0;1.24;0
85931;27;282;4;0.7;5.88;-0.16
98672;27;282;5;0;7.5;0
72389;27;315;5;-2;2.67;-0.93
87009;27;282;4;0;4.36;0
102464;27;354;2;0.7;3.75;-0.26
86686;27;282;4;0.8;4.59;0.08
78991;27;315;4;2.1;1.97;0.05
90846;27;354;3;0;3.61;0
88544;27;354;2;0;3.29;0
104125;27;354;5;4.5;9.1;-0.47
69214;27;315;5;0;4.65;0
101709;27;354;3;0;2;0
96340;27;354;4;3.6;12.1;-0.11
50427;27;315;3;0;1.89;0
73896;27;315;5;1.5;4.17;-0.67
78151;27;315;1;0;3;0
94297;27;354;4;0;2.47;0
84428;27;354;4;8;13.12;1.18
104080;27;354;1;0;1;0
104459;27;354;5;5.9;10.33;0.81
100763;27;276;4;2.1;6.57;-0.35
105336;27;354;4;0;0.77;0
108176;27;354;3;5.5;5.42;1.01
100761;27;276;4;1.9;4.96;0.16
42140;27;315;3;0;4.84;0
94288;27;315;4;0.4;2.47;-0.27
98945;27;315;3;0;1.73;0
70132;27;315;4;0;2.53;0
112108;27;315;3;0;1;0
98529;27;354;4;0;5.15;0
98412;27;315;1;0;5.83;0
98419;27;315;4;1.4;2.81;0.21
97535;27;315;3;0;2;0
101585;27;315;4;0;2.16;0
104074;27;276;3;0;3;0
101728;27;276;3;4.9;5.63;-0.44
100084;27;276;4;4.4;4.58;0.26
108713;27;276;5;0;1.49;0
102909;27;276;4;0;3.89;0
97537;27;315;2;0;6.77;0
107109;27;262;4;0;3.31;0
101422;27;315;5;0;2.15;0
101421;27;315;1;0;1;0
106824;27;276;2;0;2.46;0
97645;27;276;1;0;1;0
107203;27;1371;4;0;0.87;0
82943;27;315;2;0.9;5.09;-0.85
102997;27;315;4;0;2;0
80779;27;315;3;-0.8;2.24;-0.28
78248;27;262;3;5.4;5.61;0.84
89637;27;262;4;4.7;6.09;-0.01
78478;27;262;3;8.1;11.74;1.03
102563;27;315;5;0.5;3.5;0.03
111281;27;315;1;0;4;0
111279;27;315;2;0.9;0.92;0.1
93834;27;315;1;1;4.23;-0.04
107107;27;262;3;0;2;0
99392;27;262;5;3.5;7.17;-0.87
80318;27;315;2;0;1.85;0
98333;27;262;1;0;3.55;0
83528;27;262;3;7.6;5.13;1.53
84342;27;266;5;0;4.73;0
87691;27;315;4;0;4.84;0
92193;27;315;4;0;5.22;0
69041;27;266;1;0;2.71;0
87747;27;266;4;4.5;7.31;0.36
94583;27;262;5;0;14.1;0
92291;27;262;3;4.4;4.71;0.73
84382;27;266;2;0;6.12;0
82640;27;292;5;4.9;3.36;0.73
73384;27;266;2;7.3;9.15;0.81
110759;27;266;5;-0.1;2.74;-0.21
91708;27;266;3;7.3;11.2;0.67
109127;27;315;3;0;0.76;0
102318;27;266;5;0.5;8.93;-0.27
62114;27;285;5;0.6;7.23;-0.36
63289;27;285;4;-5.7;16.47;-1.68
72290;27;275;1;0;7.39;0
109573;27;266;4;2.2;4.78;0.26
63013;27;275;2;13.2;9.85;1.35
90569;27;1371;4;0.8;1.93;0.43
105811;27;275;5;0;6.06;0
103767;27;275;4;0;9.66;0
69051;27;265;1;10;3.39;0.54
42116;27;275;5;0;7.5;0
105612;27;280;4;0;3;0
72007;27;1371;4;0;3.52;0
93988;27;275;5;-0.3;6.26;0.03
75295;27;285;5;0;9.75;0
81091;27;282;4;0;7.3;0
107172;27;275;4;0.4;2.83;0.15
90444;27;285;2;2.6;4.63;0.11
83266;27;277;5;-0.1;5.36;-0.33
86410;27;275;2;0;5.87;0
96725;27;285;2;-0.6;7;-0.65
81150;27;275;2;0;4.83;0
86841;27;285;4;0;5.65;0
107231;27;275;4;0;6.65;0
