atleta_id;rodada_id;clube_id;posicao_id;pontos_num;preco_num;variacao_num
71571;16;373;1;8.5;18.23;0.23
86264;16;373;2;4.1;14.13;-0.19
78445;16;262;2;0;5.5;0
90264;16;327;5;8.6;7.72;1.37
38913;16;266;4;-1;2.52;-0.23
38750;16;262;2;7.2;8.69;0.66
71631;16;275;1;0;14.94;-0.17
42500;16;264;2;2.4;12.18;-1.38
70323;16;1371;6;4.51;3.89;0.6
93790;16;373;4;0;3.62;0
86388;16;327;4;1.2;4.67;0.22
72595;16;373;1;0;2.88;0
109246;16;327;5;0;1.45;0
100762;16;293;5;0;6;0
42411;16;282;6;6.15;12.5;0.64
103773;16;327;2;0;1;0
104502;16;293;4;-3;6.55;-0.37
100079;16;282;4;0;8.16;0
85004;16;266;1;-2;12.92;-1.2
39148;16;282;5;2.6;21.26;-1.06
38877;16;282;2;4.9;8.15;-0.08
83528;16;262;3;9.1;5.05;1.47
72372;16;356;1;0;7.85;0
38162;16;266;5;0;6.07;0
101319;16;282;2;0;8.52;0
101960;16;293;5;0;7.5;0
102253;16;293;3;0;4;0
69012;16;293;1;0;12.43;-1.38
82628;16;356;2;0.3;8.03;0.16
97317;16;327;4;0;2.63;0
42491;16;293;2;2.9;4.2;0.47
78497;16;373;2;9.5;8.11;0.5
72294;16;282;1;6;12.34;1.24
104513;16;293;2;-0.6;7.51;-0.51
69705;16;293;4;0.3;9.06;-0.66
81031;16;286;6;2.48;6.42;0.17
105208;16;293;1;0;2.24;0
106826;16;1371;5;1.3;4.25;0.21
103515;16;327;4;6.4;2.72;0.91
37245;16;354;6;3.21;9.38;-0.06
90309;16;356;5;-1.7;8.46;-1.02
86770;16;373;4;10.6;9.76;1.38
70986;16;293;4;0.7;5.83;-0.2
71602;16;327;2;4.2;6.34;-0.04
38315;16;293;4;0;5.74;0
104095;16;327;2;0;1;0
38394;16;293;3;0;8.97;0
107854;16;373;4;0.9;1.13;-0.26
39656;16;282;4;0;3.14;0
105909;16;293;5;0;2.29;0
38138;16;264;5;-0.3;7.46;-0.43
87225;16;293;3;0;7.5;0
81682;16;266;4;0;4.98;0
52253;16;282;3;0;9.7;0
102905;16;327;4;0;1.98;0
99878;16;327;5;0;4;0
68835;16;286;5;0;3.85;0
104655;16;282;5;0;1.24;0
92696;16;293;5;1.5;5.66;-0.92
111578;16;293;6;0.58;9.47;-0.33
38939;16;276;2;0;9.32;0
81585;16;293;4;-1.6;2.4;-0.44
90700;16;327;3;0;3.96;0
101077;16;292;6;2.49;5.96;-0.29
38277;16;292;4;1;9.62;-0.4
105889;16;327;4;-0.2;1.55;-0.23
72580;16;327;1;3;6.58;-0.48
98672;16;282;5;16;10.08;2.81
73465;16;266;3;0.1;9.37;-0.15
38196;16;284;4;0;3.61;0
88916;16;373;1;0;4.04;0
97425;16;282;3;0;2.68;0
42145;16;266;2;2.5;10.11;0.38
80076;16;373;5;9.9;9.7;1.71
106835;16;293;3;-0.5;1.46;-0.54
101314;16;327;5;2.8;6.69;-1.09
60825;16;327;5;4.8;7.4;1.14
38588;16;1371;5;0.8;9.59;-0.08
86711;16;293;4;0;2.72;0
82276;16;327;5;0;2.83;0
90917;16;293;5;1.7;5.93;0.06
38279;16;356;5;-0.1;6.05;-0.48
87262;16;373;4;6.2;4.72;1.01
91203;16;373;3;-1.1;7.41;-0.82
38545;16;275;4;2.3;5.69;0.15
68727;16;282;2;0;6.1;0
106704;16;327;5;0;1.5;0
79334;16;327;3;2.2;2.55;-0.42
86970;16;327;3;0.7;3.44;-0.61
109461;16;282;4;-1;1.95;-0.47
81776;16;327;4;0;3.44;0
71937;16;327;4;0;8.31;0
106843;16;282;4;0.3;2.05;-0.2
91866;16;293;3;1.5;5.58;0.23
82609;16;327;5;0;1;0
98022;16;293;2;3.1;3.52;-0.09
111650;16;327;4;0;1;0
82381;16;327;4;-0.5;5.49;-0.34
80079;16;327;1;0;1;0
68911;16;284;5;0;11.71;0
91783;16;327;2;0;2.71;0
93797;16;293;2;-1.3;10.44;-0.03
50645;16;327;2;0;3.38;0
97062;16;265;4;0;8;0
94068;16;327;5;0;3.86;0
108201;16;327;4;0;1.53;0
81091;16;282;4;4.1;7.89;0.91
101681;16;327;1;0;1;0
94444;16;293;5;0;6.98;0
95794;16;282;3;8.5;9.14;0.12
95127;16;293;2;0.9;5.13;-0.18
97879;16;293;4;0;2;0
96055;16;327;4;0;2.15;0
80853;16;284;3;-2.5;6.96;-0.84
85931;16;282;4;0;6.54;0
101290;16;284;5;0;9.83;0
87342;16;284;3;0;8.34;0
91639;16;373;2;0;11.78;0
109463;16;282;5;0;2.97;0
86485;16;282;5;0.9;10.6;-1.34
92146;16;373;5;0;3.93;0
88312;16;282;3;4.9;8.24;0.17
94514;16;373;3;0;4.8;0
68928;16;282;1;0;5;0
86686;16;282;4;-0.9;4.94;-0.37
97899;16;265;2;2.5;10.96;-0.24
87009;16;282;4;1.7;4.86;0.36
100943;16;265;3;2.3;6.76;-0.03
68872;16;285;1;0;7.25;0
102457;16;373;4;0;2;0
96652;16;282;4;0;3.78;0
80189;16;265;3;0;4.41;0
96966;16;373;5;0;5.09;0
83433;16;285;4;1.1;8.84;-2.17
97133;16;373;2;-0.3;11.02;-0.79
86863;16;265;3;2.9;4.69;0.37
97245;16;373;5;7.2;4.77;1.07
91260;16;276;1;0;1.92;0
82634;16;265;4;-0.5;1.78;-0.1
79113;16;285;3;12.7;8.84;1.65
99440;16;373;4;0.8;3.83;-0.25
37674;16;286;4;13.3;6.13;2.39
85586;16;265;4;0;3.04;0
89493;16;282;3;0;4.57;0
97645;16;276;1;0;1;0
105809;16;373;3;0;1;0
93791;16;265;4;-1;5.65;-0.21
100084;16;276;4;6;5.07;0.8
105294;16;265;4;0.9;2.99;0.08
38144;16;284;2;0;8.68;0
100761;16;276;4;-0.6;4.81;-0.34
93653;16;265;5;2.4;2.43;0.38
94968;16;265;2;6.4;3.88;1.19
90590;16;265;1;0;8.05;0
101715;16;280;5;1.5;5.67;0.07
102909;16;276;4;1.2;4.13;0.22
101484;16;265;4;0;3.02;0
101728;16;276;3;3.4;4.98;-0.4
70360;16;282;5;-0.1;5.44;-1.19
38133;16;280;1;3;2.16;0.16
100103;16;280;5;5.3;3.94;0.84
53148;16;280;5;0;14.76;0
100763;16;276;4;-0.9;6.44;-1.37
69102;16;282;5;2.8;6.14;-0.55
100848;16;280;2;0;11.89;0
61141;16;265;3;0;3.97;0
95770;16;280;4;0;4;0
62024;16;280;2;0;5.86;0
104074;16;276;3;0;3;0
87552;16;276;5;10.4;6.81;1.24
106824;16;276;2;0;2.33;0
108713;16;276;5;2.6;1.89;0.91
103295;16;280;4;2;7.21;0.35
84674;16;280;4;0;14.32;0
72018;16;276;1;1;15.29;-0.63
103695;16;280;4;0;1.76;0.1
95466;16;276;2;-1.4;7.59;-0.56
88423;16;280;2;0;13.73;0
101398;16;327;5;1;2.96;-0.16
100333;16;286;5;1.3;3.6;-0.98
38141;16;276;3;1.5;9.22;0.22
104017;16;280;1;0;1;0
80393;16;354;4;0;5.6;0
91573;16;276;3;0;9.11;0
81952;16;354;4;0;1.37;0
69138;16;276;5;0;6.32;0
106822;16;276;4;0;2.99;0
101585;16;315;4;0;2.85;0
38648;16;292;4;2.5;4.83;0.01
71691;16;265;4;0.8;3.68;0.28
91521;16;276;5;0;5.97;0
98909;16;280;5;0;7.17;0
104625;16;280;2;-0.4;2.94;-0.03
109426;16;280;2;2.5;2.97;0.43
68929;16;315;5;0;4;0
70784;16;276;5;1.7;4.34;0.07
42259;16;276;4;0;4;0
90768;16;280;3;-0.8;10.66;-1.26
97535;16;315;3;0;2;0
87402;16;354;3;0.2;2.89;-0.71
81881;16;354;1;0;3.13;0
61033;16;265;4;3.2;6.69;-1.06
108176;16;354;3;0;4.82;0
82792;16;280;6;1.83;13.39;-0.65
105301;16;280;5;-1.7;2.78;-1.22
78584;16;286;1;0;6;0
108385;16;280;3;0.5;1.65;-0.35
81798;16;265;5;0;10.23;0
91702;16;280;5;-1.5;1.94;-0.53
88368;16;354;2;0;4.53;0
105503;16;354;2;0;1;0
72389;16;315;5;5.8;2.11;0.93
61188;16;265;5;8.3;15.35;1.42
106299;16;280;3;-0.6;2.3;-0.29
73896;16;315;5;3.4;4.3;0.18
106819;16;354;1;0;1.15;0
91130;16;315;5;2.1;3.89;0.02
92291;16;262;3;6.9;4.87;1.3
98945;16;315;3;0;1.59;0
101729;16;315;5;0;3.19;0
71113;16;315;4;-0.3;2.16;-0.15
93637;16;280;5;0;5;0
78151;16;315;1;0;3;0
107543;16;280;2;0.7;3.75;-1.05
101422;16;315;5;5.3;1.42;0.66
102563;16;315;5;0;3.81;0
60859;16;354;5;3;4.83;-0.39
68808;16;265;2;4.7;8.22;0.38
69214;16;315;5;1.1;4.13;-0.95
92193;16;315;4;0;5.38;0
73620;16;276;3;-0.9;8.08;-0.2
85315;16;264;4;0;5.18;0
77544;16;354;4;0.2;9.91;0
93882;16;280;1;0;9.2;0
109127;16;315;3;0;0.76;0
107110;16;280;3;0;6.13;0
94288;16;315;4;0;2.48;0
78991;16;315;4;0.6;1.8;-0.01
93834;16;315;1;4;4.13;1.68
101421;16;315;1;0;1;0
107203;16;262;4;-2.2;0.78;-0.43
89637;16;262;4;0;5.36;0
80318;16;315;2;0;1.68;0
95799;16;280;5;0;15.27;0
101727;16;262;2;3.4;7.11;0.5
94583;16;262;5;5.5;12.8;0.61
107109;16;262;4;2.9;3.89;0.21
97537;16;315;2;3.6;7.17;-0.7
70132;16;315;4;4;3.1;0.57
97867;16;280;3;0;9.38;0
98952;16;264;5;0;3.11;0
98412;16;315;1;0;5.83;0
102598;16;280;5;8.9;14.29;1.54
82640;16;292;5;2.3;3.22;0.42
101597;16;262;2;0;3;0
98333;16;262;1;0;3.06;0
82943;16;315;2;5.2;5.36;0.87
111281;16;315;1;0;4.08;0
78478;16;262;3;4.7;11.08;0.51
78851;16;354;1;-2;6.74;-1.45
87228;16;282;2;17.4;10.47;2.81
108329;16;315;4;0;2.37;0
98419;16;315;4;0;3.14;0
68770;16;277;4;1.1;3.23;0.26
99392;16;262;5;-0.3;4.79;-0.33
102997;16;315;4;0;2;0
102067;16;264;4;0;1.54;-0.01
50427;16;315;3;-6.6;0.92;-1.34
42140;16;315;3;0;4.84;0
101594;16;262;4;0;2.25;0
71162;16;354;4;0;10.43;0
78248;16;262;3;0;4.97;0
104282;16;262;5;0;2;0
112108;16;315;3;0;1;0
80779;16;315;3;0;2.33;-0.67
111279;16;315;2;0;0.99;0
72359;16;354;3;0.6;5.85;-1.05
107107;16;262;3;0;2;0
101574;16;262;1;0;6;0
104079;16;262;1;0;1;0
102352;16;264;4;0;0.76;0
97450;16;264;5;-0.4;7.39;-0.39
87691;16;315;4;11.2;5.72;1.79
97080;16;354;5;0;1.11;0
92496;16;280;4;0;7.71;0
78855;16;284;4;5;1.96;0.64
103700;16;285;3;2.9;5.57;-0.9
69041;16;266;1;0;2.71;0
88427;16;354;4;1.4;3.08;0.65
101201;16;354;5;0;3;0
63354;16;285;3;0;7;0
74159;16;266;5;0.5;3.48;0.07
73384;16;266;2;4.6;8.92;0.77
90031;16;354;5;1.5;6.62;0.31
111829;16;266;5;0;2.88;0
63289;16;285;4;15.3;21.14;0.87
88544;16;354;2;4.4;3.29;0.21
84342;16;266;5;-0.1;4.12;-0.59
